pos_score,neu_score,neg_score,value
270,10860,20,0
30,3640,0,1
60,1180,10,1
0,280,0,1
0,160,10,-1
0,2140,0,-1
0,220,0,1
90,5580,0,0
90,1520,10,1
30,180,0,0
0,220,0,0
0,60,10,-1
0,60,0,1
0,160,0,0
0,140,10,0
0,900,10,1
1830,13420,0,1
540,460,70,1
180,8040,80,-1
0,20,0,-1
60,2720,0,0
30,3420,0,-1
30,1540,20,0
30,140,0,1
30,5080,30,-1
0,0,0,0
90,180,0,1
150,4520,20,1
120,2460,0,0
0,160,0,0
60,140,0,1
60,2780,50,1
0,5180,0,0
0,3480,20,0
0,200,0,1
0,5160,40,-1
30,140,0,1
1830,6400,30,-1
0,40,0,0
120,6220,0,0
0,920,0,0
0,1600,0,0
0,40,0,-1
0,360,0,1
0,4040,30,0
0,80,0,0
30,540,20,-1
0,0,0,0
0,13000,10,-1
30,220,0,1
30,340,0,0
60,3000,10,-1
120,6280,0,0
30,1020,0,0
210,5000,10,0
0,5200,450,1
0,100,10,-1
0,460,0,0
0,100,0,1
240,360,10,0
0,0,0,0
150,4940,20,1
0,100,0,1
90,2360,30,-1
30,100,0,0
30,480,10,0
0,180,10,0
60,1140,0,0
150,6220,90,-1
0,9740,10,0
90,1760,0,0
30,1480,0,0
30,1040,20,-1
0,0,0,0
330,400,40,0
30,3020,50,-1
120,2000,110,0
0,640,0,0
30,9020,90,-1
0,400,0,0
0,0,0,0
60,720,10,-1
0,180,0,0
30,200,0,1
0,380,0,0
1890,6000,20,1
0,1240,0,1
30,1280,0,0
0,260,0,0
30,60,0,1
120,1940,20,0
0,140,0,1
60,300,0,1
3720,15160,0,-1
0,340,0,-1
180,180,0,0
210,6620,20,0
0,180,0,1
120,3540,40,1
0,80,0,0
0,2720,0,1
30,140,0,0
0,200,10,0
60,1120,0,1
0,60,0,0
120,1460,0,-1
30,10820,0,0
300,1920,90,-1
0,60,0,1
30,440,0,-1
30,0,0,1
90,7020,0,0
30,240,20,-1
90,1440,0,-1
90,20,0,1
0,240,0,1
60,40,10,-1
90,6960,10,1
0,0,0,0
0,240,0,1
0,5940,0,-1
0,360,0,0
1980,6040,30,0
0,40,0,1
210,460,20,1
450,6340,0,0
30,6400,20,0
30,200,0,1
870,2960,0,1
0,960,0,1
1320,11700,250,-1
30,220,0,0
60,120,10,0
1830,5820,0,1
2160,15640,50,-1
30,200,0,0
210,2960,20,0
0,620,0,1
120,5100,20,-1
60,7540,0,0
0,260,0,0
30,80,0,0
0,6020,0,1
0,4820,0,-1
0,80,0,-1
0,2980,0,0
30,3500,0,-1
30,12960,60,0
0,200,0,0
30,560,0,0
0,3900,0,0
30,300,20,-1
0,180,0,1
60,60,0,0
150,7760,0,0
0,80,0,1
0,0,0,0
0,200,0,0
90,80,0,1
30,60,0,0
30,80,0,0
120,5260,110,0
1800,4820,0,1
90,3400,20,1
330,420,40,-1
0,1600,0,0
120,2280,0,1
120,1420,0,1
60,900,0,-1
270,5300,40,1
0,4060,0,0
30,1580,20,1
60,2720,40,1
30,140,10,-1
90,180,0,0
0,20,0,0
0,0,0,1
180,680,30,0
180,1820,20,-1
90,600,0,0
0,240,0,-1
0,400,0,0
60,220,10,1
30,540,0,1
0,160,10,-1
0,220,0,0
0,1960,10,-1
0,6600,30,1
0,100,20,1
0,220,0,0
1920,11940,0,-1
0,480,0,-1
0,80,10,0
0,120,0,1
0,620,0,-1
0,240,0,-1
30,1560,20,0
60,180,0,1
30,140,0,-1
30,320,0,-1
0,40,0,0
0,7800,0,0
0,120,0,0
0,240,0,1
60,1420,0,1
0,100,0,1
90,1280,0,0
0,220,0,0
120,160,0,0
270,9380,40,1
0,40,0,1
1890,5360,0,0
690,5120,20,1
0,2880,0,0
30,340,0,0
0,260,0,0
0,0,0,0
30,80,10,0
90,80,0,1
0,340,10,0
30,60,0,1
30,400,20,1
120,2220,200,1
0,20,0,-1
90,3180,60,-1
60,20540,150,1
0,40,0,0
90,3120,30,0
30,40,0,1
0,0,0,-1
0,340,0,0
0,220,10,-1
120,1300,0,0
0,320,0,1
30,5220,30,0
30,1100,60,-1
30,640,20,1
0,1560,0,0
0,820,0,-1
0,6060,0,1
30,11060,0,-1
90,300,0,0
30,120,0,1
30,520,40,-1
60,220,0,1
30,300,20,0
120,2280,20,-1
30,320,0,0
0,2580,0,-1
150,2780,0,0
30,240,10,1
60,260,0,0
0,460,0,1
180,3500,0,0
0,180,0,0
0,140,0,1
30,240,0,-1
30,980,20,-1
0,120,0,0
60,220,0,1
60,4360,20,0
0,240,0,0
30,780,0,1
0,20,0,-1
90,3640,0,-1
0,0,0,0
0,0,0,0
0,300,0,0
60,260,10,0
0,440,0,0
30,440,0,1
90,100,0,0
30,100,0,1
0,320,0,-1
120,1380,10,0
90,180,0,1
0,120,0,0
240,2000,30,-1
90,180,0,1
60,600,20,0
60,1240,20,1
0,140,0,0
0,6100,0,1
0,20,0,0
0,400,0,-1
0,200,10,0
90,1340,0,0
0,260,0,1
510,9660,110,-1
0,4440,10,0
60,2880,0,0
150,560,20,1
150,3200,10,0
0,220,0,0
2010,5280,10,0
150,4740,0,-1
930,1000,70,0
0,20,0,-1
60,100,10,0
60,5980,0,1
60,1280,0,0
0,140,0,0
0,60,10,-1
60,100,10,0
0,100,0,0
0,160,10,-1
0,120,0,0
0,1240,0,-1
90,340,0,-1
90,2320,260,0
30,20,0,1
30,200,0,1
0,3880,0,-1
30,4780,70,0
30,60,0,1
60,4180,20,-1
60,800,0,-1
30,200,0,0
30,80,0,1
0,1820,0,1
90,1200,0,-1
60,300,10,1
0,400,0,-1
60,3700,0,0
30,180,0,1
0,5440,0,0
