,pos_score,neu_score,neg_score,sub_score
627,0.6,2.2,0.1,0.022
628,0.0,0.4,0.0,0.0
629,0.0,42.6,0.0,0.0705
630,0.3,10.8,0.0,0.014
631,0.9,9.4,0.0,0.015
632,0.3,1.0,0.0,0.0064
633,0.3,13.0,0.3,0.042
634,0.3,1.8,0.0,0.0092
635,0.0,2.0,0.0,0.0
636,24.0,87.8,0.0,0.6077
637,0.0,1.4,0.0,0.0
638,19.5,54.0,0.0,0.5012
639,0.0,1.0,0.0,0.0
640,0.3,4.4,0.0,0.007
641,0.0,1.2,0.0,0.0
642,0.0,17.0,0.0,0.0
643,0.0,2.0,0.0,0.0
644,4.5,4.0,0.0,0.1007
645,0.0,10.2,0.0,0.0705
646,0.0,0.4,0.0,0.0
647,0.0,11.2,0.0,0.0029
648,0.0,5.2,0.0,0.0007
649,0.0,35.0,0.0,0.0
650,0.0,6.8,0.0,0.0
651,0.0,2.0,0.0,0.0
652,0.0,1.2,0.0,0.001
653,0.0,15.0,0.0,0.0058
654,0.3,13.4,0.0,0.014
655,0.0,39.0,0.0,0.0
656,0.9,18.6,0.0,0.017
657,1.2,5.2,0.0,0.0233
658,0.0,2.6,0.0,0.0
659,0.0,0.4,0.0,0.0
660,0.0,1.4,0.0,0.0
661,0.3,0.0,0.0,0.0075
662,0.3,61.8,0.0,0.0133
663,0.0,4.0,0.0,0.0
664,0.0,12.8,0.0,0.0
665,0.0,7.8,0.0,0.0705
666,0.3,0.6,0.0,0.0055
667,0.0,0.6,0.0,0.0
668,0.0,18.2,0.1,0.0745
669,0.0,1.2,0.0,0.0
670,1.2,4.2,0.0,0.025
671,1.2,62.8,0.5,0.067
672,0.0,14.6,0.0,0.0705
673,0.0,28.6,0.0,0.012
674,20.7,109.2,0.2,0.6233
675,1.2,1.4,0.0,0.0255
676,0.3,0.0,0.0,0.006
677,0.0,2.8,0.0,0.0
678,0.0,0.6,0.0,0.0
679,0.9,51.8,0.0,0.0176
680,0.3,3.0,0.2,0.038
681,0.6,6.0,0.0,0.0113
682,0.0,7.8,0.0,0.0
683,2.7,63.2,0.9,0.1897
684,0.0,2.0,0.0,0.0045
685,0.0,0.0,0.0,0.0
686,0.0,0.2,0.0,0.0
687,0.0,0.4,0.0,0.0
688,0.9,41.2,0.2,0.0463
689,0.6,1.2,0.0,0.0097
690,0.3,10.4,0.2,0.0688
691,0.9,6.2,0.1,0.031
692,19.2,85.2,0.2,0.5355
693,0.0,1.8,0.0,0.0
694,0.0,1.0,0.0,0.0
695,0.0,0.8,0.0,0.0
696,0.6,13.6,0.0,0.0132
697,1.5,99.2,0.0,0.0908
698,1.8,47.2,0.4,0.091
699,0.0,1.0,0.1,0.009
700,0.3,1.6,0.0,0.008
701,0.3,0.8,0.0,0.0055
702,0.6,24.6,0.2,0.045
703,0.0,0.4,0.0,0.01
704,0.0,53.2,0.0,0.0
705,0.3,1.8,0.0,0.005
706,0.0,1.6,0.0,0.0
707,5.4,7.4,0.3,0.1627
708,0.0,0.0,0.1,0.003
709,18.0,99.8,0.0,0.4758
710,0.3,4.6,0.0,0.006
711,0.3,3.4,0.2,0.038
712,0.6,3.0,0.0,0.0057
713,9.3,10.0,0.7,0.2912
714,0.6,69.2,0.5,0.0567
715,1.5,10.8,0.1,0.0921
716,1.8,18.6,0.0,0.1026
717,0.0,0.4,0.0,0.004
718,0.0,13.8,0.0,0.0
719,0.0,2.0,0.0,0.0
720,0.3,18.8,0.2,0.0137
721,0.3,41.8,0.0,0.1782
722,0.0,5.2,0.0,0.0
723,1.2,10.2,0.0,0.0239
724,0.0,2.4,0.0,0.0
725,0.3,2.0,0.2,0.0169
726,0.3,18.8,0.0,0.01
727,2.7,23.0,0.0,0.1682
728,0.3,2.2,0.1,0.023
729,0.0,0.0,0.0,0.0
730,0.0,8.6,0.0,0.0
731,0.0,0.6,0.0,0.004
732,0.0,0.6,0.0,0.002
733,0.3,1.8,0.0,0.008
734,0.0,1.8,0.0,0.0
735,1.8,105.8,0.2,0.1484
736,1.2,8.0,0.0,0.0173
737,0.3,0.2,0.0,0.0
738,0.0,30.6,0.0,0.0087
739,0.6,42.8,0.1,0.039
740,0.9,8.6,0.3,0.0277
741,6.3,9.0,0.3,0.1915
742,0.6,2.2,0.0,0.019
743,1.5,2.2,0.2,0.053
744,0.0,1.0,0.0,0.0
745,0.0,2.8,0.0,0.0087
746,0.0,6.6,0.0,0.0
747,0.3,9.2,0.2,0.038
748,0.0,35.0,0.0,0.0
749,0.9,26.2,0.2,0.047
750,0.0,1.6,0.0,0.0
751,1.8,41.6,0.2,0.058
752,2.4,60.8,0.1,0.039
753,0.0,3.8,0.0,0.0
754,0.3,3.4,0.1,0.014
755,2.1,5.8,0.2,0.0701
756,0.6,28.6,0.2,0.0487
