pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score,value
60,220,10,1.2,0.0,1.0,-1
0,40,0,0,0.0,0,0
0,4260,0,0,7.050000000000001,0,0
30,1080,0,1.0,0.4,0,0
90,940,0,1.5,0.0,0,0
30,100,0,0.5357142857142857,0.1,0,0
30,1300,30,1.0,1.0,2.2,-1
30,180,0,0.75,0.16666666666666666,0,-1
0,200,0,0,0.0,0,1
2400,8780,0,33.35396825396823,27.41666666666667,0,0
0,140,0,0,0.0,0,0
1950,5400,0,23.866666666666653,26.25,0,1
0,100,0,0,0.0,0,0
30,440,0,0.2,0.5,0,0
0,120,0,0,0.0,0,1
0,1700,0,0,0.0,0,0
0,200,0,0,0.0,0,0
450,400,0,8.671428571428573,1.4000000000000004,0,1
0,1020,0,0,7.050000000000001,0,0
0,40,0,0,0.0,0,-1
0,1120,0,0,0.2888888888888889,0,0
0,520,0,0,0.06666666666666667,0,-1
0,3500,0,0,0.0,0,0
0,680,0,0,0.0,0,-1
0,200,0,0,0.0,0,0
0,120,0,0,0.1,0,-1
0,1500,0,0,0.5833333333333333,0,0
30,1340,0,1.0,0.4,0,0
0,3900,0,0,0.0,0,1
90,1860,0,0.7,1.0,0,-1
120,520,0,1.6,0.7333333333333333,0,0
0,260,0,0,0.0,0,1
0,40,0,0,0.0,0,0
0,140,0,0,0.0,0,0
30,0,0,0.75,0,0,1
30,6180,0,1.0,0.3333333333333333,0,0
0,400,0,0,0.0,0,1
0,1280,0,0,0.0,0,0
0,780,0,0,7.050000000000001,0,0
30,60,0,0.55,0.0,0,1
0,60,0,0,0.0,0,0
0,1820,10,0,7.050000000000001,0.4,-1
0,120,0,0,0.0,0,0
