 ,score
1441,66.2
1442,35.1
1443,7.9
1444,16.0
1445,24.0
1446,15.4
1447,9.6
1448,56.1
1449,40.6
1450,16.3
1451,28.2
1452,1.8
1453,2.7
1454,0.2
1455,0.0
1456,8.9
1457,20.2
1458,6.9
1459,2.4
1460,4.0
1461,2.9
1462,5.7
1463,1.7
1464,2.2
1465,19.7
1466,66.3
1467,1.2
1468,2.2
1469,138.6
1470,4.8
1471,0.9
1472,1.2
1473,6.2
1474,2.4
1475,16.1
1476,2.4
1477,1.7
1478,3.5
1479,0.4
1480,78.0
1481,1.2
1482,2.4
1483,14.8
1484,1.0
1485,13.7
1486,2.2
1487,2.8
1488,96.9
1489,0.4
1490,72.5
1491,58.3
1492,28.8
1493,3.7
1494,2.6
1495,0.0
1496,1.2
1497,1.7
1498,3.5
1499,0.9
1500,4.5
1501,25.4
1502,0.2
1503,33.3
1504,207.5
1505,0.4
1506,32.4
1507,0.7
1508,0.0
1509,3.4
1510,2.3
1511,14.2
1512,3.2
1513,52.8
1514,11.9
1515,6.9
1516,15.6
1517,8.2
1518,60.6
1519,110.9
1520,3.9
1521,1.5
1522,5.9
1523,2.8
1524,3.5
1525,24.2
1526,3.5
1527,25.8
1528,29.3
1529,2.8
1530,3.2
1531,4.6
1532,36.8
1533,1.8
1534,1.4
1535,2.7
1536,10.3
1537,1.2
1538,2.8
1539,44.4
1540,2.4
1541,8.1
1542,0.2
1543,37.3
1544,0.0
1545,0.0
1546,3.0
1547,3.3
1548,4.4
1549,4.7
1550,1.9
1551,1.3
1552,3.2
1553,15.1
1554,2.7
1555,1.2
1556,22.7
1557,2.7
1558,6.8
1559,13.2
1560,1.4
1561,61.0
1562,0.2
1563,4.0
1564,2.1
1565,14.3
1566,2.6
1567,102.8
1568,44.5
1569,29.4
1570,7.3
1571,33.6
1572,2.2
1573,73.0
1574,48.9
1575,20.0
1576,0.2
1577,1.7
1578,60.4
1579,13.4
1580,1.4
1581,0.7
1582,1.7
1583,1.0
1584,1.7
1585,1.2
1586,12.4
1587,4.3
1588,26.7
1589,0.5
1590,2.3
1591,38.8
1592,48.8
1593,0.9
1594,42.6
1595,8.6
1596,2.3
1597,1.1
1598,18.2
1599,12.9
1600,3.7
1601,4.0
1602,37.6
1603,2.1
1604,54.4
1605,2.1
1606,14.4
1607,14.9
1608,13.2
1609,74.5
1610,4.3
1611,2.5
1612,2.0
1613,74.2
1614,3.0
1615,1.2
1616,48.6
1617,0.2
1618,14.2
1619,0.4
1620,31.4
1621,53.2
1622,41.0
1623,1.5
1624,0.4
1625,132.0
1626,3.4
1627,0.4
1628,3.0
1629,41.8
1630,3.0
1631,24.5
1632,1.5
1633,2.1
1634,12.8
1635,20.7
1636,4.8
1637,35.7
1638,127.1
1639,64.1
1640,41.9
1641,19.1
1642,2.4
1643,0.5
1644,1.9
1645,6.6
1646,15.1
1647,68.7
1648,12.3
1649,1.7
1650,104.0
1651,1.9
1652,26.6
1653,0.2
1654,1.0
1655,1.6
1656,39.3
1657,29.6
1658,2.6
1659,0.6
1660,9.6
1661,27.9
1662,1.0
1663,2.3
1664,51.5
1665,4.2
1666,41.8
1667,12.4
1668,19.0
1669,33.3
1670,54.6
1671,2.6
1672,6.4
1673,2.0
1674,28.5
1675,0.8
1676,2.2
1677,1.8
1678,1.5
1679,15.2
1680,33.9
1681,81.4
1682,2.0
1683,9.1
1684,65.3
1685,1.7
1686,10.2
1687,24.8
1688,38.9
1689,1.3
1690,3.5
1691,66.1
1692,7.3
1693,2.0
1694,2.0
1695,50.2
1696,96.3
1697,33.2
1698,2.8
1699,11.4
1700,1.1
1701,65.0
1702,29.3
1703,1.2
1704,29.7
1705,0.0
1706,25.5
1707,24.1
1708,2.0
1709,7.8
1710,0.6
1711,15.3
1712,7.9
1713,7.5
1714,0.0
1715,3.3
1716,12.5
1717,3.7
1718,0.6
1719,13.1
1720,101.9
1721,15.7
1722,2.3
1723,13.2
1724,0.8
1725,0.6
1726,3.0
1727,2.0
1728,37.8
1729,42.7
1730,26.6
1731,20.6
1732,0.0
1733,10.5
1734,60.8
1735,15.8
1736,1.8
1737,2.2
1738,5.2
1739,3.7
1740,89.0
1741,95.8
1742,10.7
1743,0.0
1744,10.7
1745,9.6
1746,3.3
1747,1.7
1748,75.8
1749,13.3
1750,0.0
1751,53.0
1752,16.5
1753,12.4
1754,21.5
1755,6.7
1756,3.7
1757,8.8
1758,2.0
1759,2.1
1760,0.0
1761,41.8
1762,0.7
1763,11.7
1764,0.0
1765,0.4
1766,1.9
1767,23.9
1768,0.2
1769,52.3
1770,13.9
1771,1.0
1772,223.6
1773,1.3
1774,1.2
1775,1.0
1776,17.6
1777,4.9
1778,8.3
1779,0.9
1780,0.4
1781,1.8
1782,0.0
1783,0.6
1784,1.8
1785,2.0
1786,1.6
1787,57.8
1788,1.7
1789,0.6
1790,5.1
1791,14.1
1792,0.2
1793,54.8
1794,16.2
1795,0.9
1796,11.0
1797,0.0
1798,8.6
1799,2.3
1800,2.2
1801,3.0
1802,12.0
1803,72.0
1804,0.5
1805,1.9
1806,110.7
1807,30.5
1808,2.6
1809,28.0
1810,0.0
1811,3.3
1812,57.8
1813,8.9
1814,23.6
1815,2.4
1816,27.7
1817,4.0
1818,1.8
1819,1.2
1820,6.8
1821,1.4
1822,19.1
1823,1.2
1824,0.0
1825,15.8
1826,2.9
1827,6.0
1828,1.5
1829,2.2
1830,3.4
1831,0.5
1832,1.4
1833,78.3
1834,11.8
1835,3.2
1836,3.5
1837,2.5
1838,2.8
1839,13.0
1840,3.0
1841,40.8
1842,30.1
1843,11.7
1844,0.8
1845,0.8
1846,20.9
1847,16.4
1848,3.0
1849,1.2
1850,2.6
1851,10.6
1852,0.3
1853,12.3
1854,0.6
1855,2.1
1856,2.0
1857,2.0
1858,14.1
1859,5.4
1860,12.5
1861,124.6
1862,2.4
1863,15.6
1864,1.1
1865,1.6
1866,7.3
1867,10.1
1868,1.5
1869,1.0
1870,2.4
1871,15.2
1872,62.6
1873,2.5
1874,0.2
1875,5.2
1876,78.8
1877,0.0
1878,3.7
1879,2.2
1880,0.0
1881,132.9
1882,3.0
1883,0.4
1884,1.3
1885,0.2
1886,10.0
1887,1.8
1888,25.8
1889,30.6
1890,8.0
1891,19.0
1892,9.2
1893,4.2
1894,4.5
1895,130.6
1896,4.2
1897,0.2
1898,9.7
1899,1.6
1900,2.0
1901,152.8
1902,1.1
1903,1.8
1904,0.2
1905,94.2
1906,11.4
1907,261.1
1908,13.3
1909,2.1
1910,44.2
1911,2.0
1912,134.7
1913,1.9
1914,1.2
1915,23.8
1916,13.6
1917,41.4
1918,6.4
1919,10.4
1920,2.0
1921,33.5
1922,3.5
1923,2.4
1924,0.0
1925,15.8
1926,9.8
1927,46.2
1928,2.4
1929,2.2
1930,43.9
1931,2.4
1932,1.4
1933,1.1
1934,0.2
1935,55.5
1936,2.2
1937,30.3
1938,0.0
1939,17.0
1940,10.1
1941,1.2
1942,54.2
1943,81.2
1944,2.6
1945,2.0
1946,0.3
1947,1.5
1948,94.1
1949,2.4
1950,3.7
1951,12.3
1952,1.8
1953,167.0
1954,1.6
1955,113.3
1956,2.0
1957,35.0
1958,2.1
1959,1.0
1960,74.3
1961,2.4
1962,9.1
1963,17.0
1964,61.0
1965,2.8
1966,1.4
1967,21.1
1968,51.6
1969,39.6
1970,0.0
1971,75.1
1972,1.2
1973,0.6
1974,0.3
1975,1.4
1976,61.9
1977,38.4
1978,100.7
1979,6.6
1980,1.4
1981,3.9
1982,8.0
1983,2.4
1984,1.5
1985,33.4
1986,95.4
1987,3.3
1988,0.2
1989,1.4
1990,3.8
1991,1.2
1992,2.1
1993,1.2
1994,50.3
1995,4.4
1996,2.3
1997,14.8
1998,21.1
1999,2.4
2000,2.9
2001,6.4
2002,40.1
2003,34.8
2004,43.0
2005,5.9
2006,24.6
2007,39.2
2008,8.4
2009,11.0
2010,51.6
2011,1.4
2012,2.0
2013,0.4
2014,1.0
2015,0.5
2016,1.6
2017,4.5
2018,33.0
2019,0.8
2020,12.3
2021,6.0
2022,5.6
2023,5.0
2024,10.9
2025,130.5
2026,1.5
2027,2.5
2028,13.3
2029,33.7
2030,1.4
2031,11.5
2032,30.3
2033,5.0
2034,1.6
2035,0.2
2036,0.2
2037,60.4
2038,1.3
2039,2.1
2040,3.5
2041,0.0
2042,4.3
2043,2.1
2044,6.1
2045,0.0
2046,29.0
2047,0.2
2048,7.0
2049,0.2
2050,19.4
2051,1.3
2052,40.2
2053,3.0
2054,1.6
2055,0.0
2056,1.0
2057,0.6
2058,6.2
2059,5.5
2060,1.2
2061,0.4
2062,29.7
2063,2.5
2064,1.3
2065,1.7
2066,12.5
2067,27.6
2068,13.2
2069,62.3
2070,2.5
2071,164.4
2072,55.8
2073,33.2
2074,17.9
2075,1.6
2076,1.9
2077,7.8
2078,16.7
2079,4.7
2080,0.0
2081,1.7
2082,0.2
2083,38.5
2084,10.8
2085,207.0
2086,2.4
2087,109.0
2088,1.3
2089,158.5
2090,45.4
2091,3.2
2092,0.0
2093,50.8
2094,74.0
2095,11.1
2096,0.3
2097,1.4
2098,1.8
2099,39.6
2100,1.8
2101,1.0
2102,2.0
2103,43.2
2104,1.7
2105,6.7
2106,12.3
2107,15.8
2108,29.4
2109,4.9
2110,15.0
2111,0.4
2112,2.0
2113,4.0
2114,0.6
2115,24.9
2116,1.4
2117,2.0
2118,34.7
2119,2.3
2120,62.3
2121,1.5
2122,236.6
2123,0.2
2124,3.1
2125,2.7
2126,45.2
2127,4.0
2128,1.6
2129,98.6
2130,2.6
2131,1.4
2132,15.1
2133,3.2
2134,78.8
2135,0.9
2136,27.1
2137,19.7
2138,0.0
